comment,tokenized_comment,comment_without_stopword,stopword,translated_tokenized_comment,translated_comment_without_stopword,translated_stopword,pos_tagged_tokenized_comment,pos_tagged_comment_without_stopword,pos_tagged_stopword
অরে বাবা এইটা কোন পাগল,"['অরে', 'বাবা', 'এইটা', 'কোন', 'পাগল']","['অরে', 'এইটা', 'পাগল']","['বাবা', 'কোন']","['Orah', 'Father', 'This', 'Any', 'Crazy']","['Orah', 'This', 'Crazy']","['Father', 'Any']","['NNP', 'NNP', 'DT', 'NNP', 'NNP']","['IN', 'DT', 'NNP']","['NNP', 'NNP']"
ক্যাপ্টেন অফ বাংলাদেশ,"['ক্যাপ্টেন', 'অফ', 'বাংলাদেশ']","['ক্যাপ্টেন', 'অফ', 'বাংলাদেশ']",[],"['Captain', 'Off', 'Bangladesh']","['Captain', 'Off', 'Bangladesh']",[],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",[]
অন্যরকম  ভালো লাগলো ,"['অন্যরকম', 'ভালো', 'লাগলো']","['ভালো', 'লাগলো']",['অন্যরকম'],"['Different', 'Good', 'Looked']","['Good', 'Looked']",['Different'],"['NNP', 'NNP', 'VBD']","['JJ', 'VBD']",['NN']
মোহাম্মদ কফিল উদ্দীন মাহমুদ     ,"['মোহাম্মদ', 'কফিল', 'উদ্দীন', 'মাহমুদ']","['মোহাম্মদ', 'কফিল', 'উদ্দীন', 'মাহমুদ']",[],"['Mohammedan', 'Coffill', 'Insistent', 'Mahmood']","['Mohammedan', 'Coffill', 'Insistent', 'Mahmood']",[],"['NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP']",[]
আজকেই জানলাম অরেন্জ গ্রেইপ্স একটি ভেজিটেবল,"['আজকেই', 'জানলাম', 'অরেন্জ', 'গ্রেইপ্স', 'একটি', 'ভেজিটেবল']","['আজকেই', 'জানলাম', 'অরেন্জ', 'গ্রেইপ্স', 'একটি', 'ভেজিটেবল']",[],"['Today', 'Know', 'Orenz', 'Grapes', 'A', 'Vegetable']","['Today', 'Know', 'Orenz', 'Grapes', 'A', 'Vegetable']",[],"['NN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']",[]
বাহ! প্রথমে তো চিনতেই পারিনি,"['বাহ', 'প্রথমে', 'তো', 'চিনতেই', 'পারিনি']","['প্রথমে', 'চিনতেই', 'পারিনি']","['বাহ', 'তো']","['Wow', 'First', 'There', 'Recognizable', 'Could not']","['First', 'Recognizable', 'Could not']","['Wow', 'There']","['NNP', 'NNP', 'EX', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']","['IN', 'EX']"
বিবাহ করিতে চাইনা এবং   দেখেছি। বাকিগুলিও দেখব।      ,"['বিবাহ', 'করিতে', 'চাইনা', 'এবং', 'দেখেছি', 'বাকিগুলিও', 'দেখব']","['বিবাহ', 'করিতে', 'চাইনা', 'এবং', 'দেখেছি', 'বাকিগুলিও', 'দেখব']",[],"['Marriage', 'By', 'Not want', 'And', 'See', 'The rest', 'See']","['Marriage', 'By', 'Not want', 'And', 'See', 'The rest', 'See']",[],"['NN', 'IN', 'NNP', 'CC', 'NNP', 'NNP', 'VB']","['NN', 'IN', 'NNP', 'CC', 'NNP', 'NNP', 'VB']",[]
হক কথা । সাবাস ।,"['হক', 'কথা', 'সাবাস']","['হক', 'কথা', 'সাবাস']",[],"['Right', 'Talk', 'Savor']","['Right', 'Talk', 'Savor']",[],"['JJ', 'NN', 'NNP']","['JJ', 'NN', 'NNP']",[]
পরোক্ষ হুমকী,"['পরোক্ষ', 'হুমকী']","['পরোক্ষ', 'হুমকী']",[],"['Indirect', 'Threat']","['Indirect', 'Threat']",[],"['JJ', 'NN']","['JJ', 'NN']",[]
করোনা যুদ্ধের প্রথম শহীদ ! ,"['করোনা', 'যুদ্ধের', 'প্রথম', 'শহীদ']","['করোনা', 'যুদ্ধের', 'প্রথম', 'শহীদ']",[],"['No', 'War', 'First', 'Martyr']","['No', 'War', 'First', 'Martyr']",[],"['DT', 'NNP', 'NNP', 'NNP']","['DT', 'NNP', 'NNP', 'NNP']",[]
মাশআল্লাহ,['মাশআল্লাহ'],['মাশআল্লাহ'],[],['Mashallah'],['Mashallah'],[],['NN'],['NN'],[]
শুভ কামনা নিরন্তর।,"['শুভ', 'কামনা', 'নিরন্তর']","['শুভ', 'কামনা', 'নিরন্তর']",[],"['Auspicious', 'Desire', 'Constant']","['Auspicious', 'Desire', 'Constant']",[],"['JJ', 'NNP', 'NNP']","['JJ', 'NNP', 'NNP']",[]
আলহামদুলিল্লাহ।,['আলহামদুলিল্লাহ'],['আলহামদুলিল্লাহ'],[],['Alhamdulillah'],['Alhamdulillah'],[],['NN'],['NN'],[]
দৌড়টা ভালো ছিল ,"['দৌড়টা', 'ভালো', 'ছিল']","['দৌড়টা', 'ভালো']",['ছিল'],"['Run', 'Good', 'Was']","['Run', 'Good']",['Was'],"['NNP', 'NNP', 'NNP']","['RB', 'JJ']",['NN']
করে সাবসকারইব করছি সুধু হাসার জন্যমানদের নাতি।,"['করে', 'সাবসকারইব', 'করছি', 'সুধু', 'হাসার', 'জন্যমানদের', 'নাতি']","['করে', 'সাবসকারইব', 'করছি', 'সুধু', 'হাসার', 'জন্যমানদের', 'নাতি']",[],"['By', 'Subscribe', 'Doing', 'Gutter', 'Laugh', 'Standards', 'Grandson']","['By', 'Subscribe', 'Doing', 'Gutter', 'Laugh', 'Standards', 'Grandson']",[],"['IN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['IN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']",[]
এক পায়ে নুপুর,"['এক', 'পায়ে', 'নুপুর']","['এক', 'পায়ে', 'নুপুর']",[],"['One', 'Leg', 'Nupur']","['One', 'Leg', 'Nupur']",[],"['CD', 'NNP', 'NNP']","['CD', 'NNP', 'NNP']",[]
আলহামদুলিল্লাহ!  ঈদ মোবারক!,"['আলহামদুলিল্লাহ', 'ঈদ', 'মোবারক']","['আলহামদুলিল্লাহ', 'ঈদ', 'মোবারক']",[],"['Alhamdulillah', 'Eid', 'Mob']","['Alhamdulillah', 'Eid', 'Mob']",[],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",[]
সব দেখা শেষ। :),"['সব', 'দেখা', 'শেষ']","['দেখা', 'শেষ']",['সব'],"['All', 'See', 'End']","['See', 'End']",['All'],"['DT', 'NNP', 'NN']","['VB', 'NN']",['DT']
আল্লাহ দাদিকে বেহেশত নসিব করুন,"['আল্লাহ', 'দাদিকে', 'বেহেশত', 'নসিব', 'করুন']","['আল্লাহ', 'দাদিকে', 'বেহেশত', 'নসিব', 'করুন']",[],"['Allah', 'Grandmother', 'Heaven', 'Nasib', 'Do']","['Allah', 'Grandmother', 'Heaven', 'Nasib', 'Do']",[],"['NNP', 'NNP', 'NNP', 'NNP', 'VBP']","['NNP', 'NNP', 'NNP', 'NNP', 'VBP']",[]
অনেক সুন্দর হয়েছে ,"['অনেক', 'সুন্দর', 'হয়েছে']","['সুন্দর', 'হয়েছে']",['অনেক'],"['Many', 'Beautiful', 'Have been']","['Beautiful', 'Have been']",['Many'],"['JJ', 'NNP', 'NNP']","['NNP', 'NNP']",['JJ']
টেক কেয়ার,"['টেক', 'কেয়ার']","['টেক', 'কেয়ার']",[],"['Teaching', 'Care']","['Teaching', 'Care']",[],"['VBG', 'NN']","['VBG', 'NN']",[]
নাইস কাপল ,"['নাইস', 'কাপল']","['নাইস', 'কাপল']",[],"['Fair', 'Squeeze']","['Fair', 'Squeeze']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
রিয়েল হিরো,"['রিয়েল', 'হিরো']","['রিয়েল', 'হিরো']",[],"['Real', 'Hero']","['Real', 'Hero']",[],"['JJ', 'NN']","['JJ', 'NN']",[]
এটা দিয়ে কি  করা যাবে,"['এটা', 'দিয়ে', 'কি', 'করা', 'যাবে']","['কি', 'দিয়ে', 'করা', 'যাবে']",['এটা'],"['It', 'With', 'What', 'Do', 'Go']","['What', 'With', 'Do', 'Go']",['It'],"['PRP', 'IN', 'WP', 'NNP', 'VB']","['WP', 'IN', 'NNP', 'VB']",['PRP']
আমার বাড়ির সামনে দিয়ে গেছো!!!,"['আমার', 'বাড়ির', 'সামনে', 'দিয়ে', 'গেছো']","['আমার', 'বাড়ির', 'দিয়ে', 'গেছো']",[],"['Me', 'House', 'In front', 'With', 'Go']","['Me', 'House', 'With', 'Go']",[],"['NNP', 'NNP', 'NNP', 'IN', 'NNP']","['NNP', 'NNP', 'IN', 'NNP']",[]
শুভ কামনা ডিয়ার তোমার জন্য,"['শুভ', 'কামনা', 'ডিয়ার', 'তোমার', 'জন্য']","['শুভ', 'কামনা', 'ডিয়ার']","['তোমার', 'জন্য']","['Auspicious', 'Desire', 'Dear', 'Your', 'For']","['Auspicious', 'Desire', 'Dear']","['Your', 'For']","['JJ', 'NNP', 'NNP', 'NNP', 'IN']","['JJ', 'NNP', 'NNP']","['PRP$', 'IN']"
মাশাল্লাহ ডিয়ার,"['মাশাল্লাহ', 'ডিয়ার']","['মাশাল্লাহ', 'ডিয়ার']",[],"['Mashal', 'Dear']","['Mashal', 'Dear']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
স্পিচললেস,['স্পিচললেস'],['স্পিচললেস'],[],['Spylalasse'],['Spylalasse'],[],['NN'],['NN'],[]
আজকে সবে বরাত চোখে দেখতাছে :,"['আজকে', 'সবে', 'বরাত', 'চোখে', 'দেখতাছে']","['আজকে', 'সবে', 'বরাত', 'দেখতাছে']",['চোখে'],"['Today', 'Barely', 'Excluding', 'Eye', 'Seeing']","['Today', 'Barely', 'Excluding', 'Seeing']",['Eye'],"['NN', 'NNP', 'NNP', 'NNP', 'VBG']","['NN', 'NNP', 'NNP', 'VBG']",['NN']
একটা মানুষের এত গুন কিভাবে হয়,"['একটা', 'মানুষের', 'এত', 'গুন', 'কিভাবে', 'হয়']","['একটা', 'মানুষের', 'এত', 'গুন', 'হয়']",['কিভাবে'],"['One', 'Man', 'So much', 'Multiplication', 'How', 'Is']","['One', 'Man', 'So much', 'Multiplication', 'Is']",['How'],"['CD', 'NNP', 'NNP', 'NNP', 'NNP', 'VBZ']","['CD', 'NNP', 'NNP', 'NNP', 'VBZ']",['WRB']
সাবাশ হিরো আলম আলম,"['সাবাশ', 'হিরো', 'আলম', 'আলম']","['সাবাশ', 'হিরো', 'আলম', 'আলম']",[],"['Adulthood', 'Hero', 'Elasticity', 'Elasticity']","['Adulthood', 'Hero', 'Elasticity', 'Elasticity']",[],"['NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP']",[]
আল্লাহ আপনাকে হেদায়েত দান করুন ৷,"['আল্লাহ', 'আপনাকে', 'হেদায়েত', 'দান', 'করুন', '৷']","['আল্লাহ', 'হেদায়েত', 'দান', 'করুন', '৷']",['আপনাকে'],"['Allah', 'You', 'Guidance', 'Donation', 'Do', '1']","['Allah', 'Guidance', 'Donation', 'Do', '1']",['You'],"['NNP', 'PRP', 'NNP', 'NNP', 'VBP', 'CD']","['NNP', 'NNP', 'NNP', 'VBP', 'CD']",['PRP']
